Date,Event,Type,Symbol
2020-01-28,Apple Q1 2020 Earnings,Earnings,AAPL
2020-01-29,Microsoft Q2 2020 Earnings,Earnings,MSFT
2020-01-30,Amazon Q4 2019 Earnings,Earnings,AMZN
2020-02-03,Alphabet Q4 2019 Earnings,Earnings,GOOGL
2020-02-04,Facebook Q4 2019 Earnings,Earnings,FB
2020-04-28,Apple Q2 2020 Earnings,Earnings,AAPL
2020-04-29,Microsoft Q3 2020 Earnings,Earnings,MSFT
2020-04-30,Amazon Q1 2020 Earnings,Earnings,AMZN
2020-07-28,Alphabet Q2 2020 Earnings,Earnings,GOOGL
2020-07-29,Facebook Q2 2020 Earnings,Earnings,FB
2020-07-30,Apple Q3 2020 Earnings,Earnings,AAPL
2020-10-27,Microsoft Q1 2021 Earnings,Earnings,MSFT
2020-10-29,Amazon Q3 2020 Earnings,Earnings,AMZN
2020-10-29,Apple Q4 2020 Earnings,Earnings,AAPL
2021-01-26,Microsoft Q2 2021 Earnings,Earnings,MSFT
2021-01-27,Apple Q1 2021 Earnings,Earnings,AAPL
2021-02-02,Amazon Q4 2020 Earnings,Earnings,AMZN
2021-02-02,Alphabet Q4 2020 Earnings,Earnings,GOOGL
2021-04-27,Microsoft Q3 2021 Earnings,Earnings,MSFT
2021-04-28,Apple Q2 2021 Earnings,Earnings,AAPL
2021-04-27,Alphabet Q1 2021 Earnings,Earnings,GOOGL
2021-04-28,Facebook Q1 2021 Earnings,Earnings,FB
2021-04-29,Amazon Q1 2021 Earnings,Earnings,AMZN
2021-07-27,Apple Q3 2021 Earnings,Earnings,AAPL
2021-07-27,Alphabet Q2 2021 Earnings,Earnings,GOOGL
2021-07-28,Facebook Q2 2021 Earnings,Earnings,FB
2021-07-29,Amazon Q2 2021 Earnings,Earnings,AMZN
2021-10-26,Microsoft Q1 2022 Earnings,Earnings,MSFT
2021-10-26,Alphabet Q3 2021 Earnings,Earnings,GOOGL
2021-10-28,Apple Q4 2021 Earnings,Earnings,AAPL
2021-10-28,Amazon Q3 2021 Earnings,Earnings,AMZN
2022-01-25,Microsoft Q2 2022 Earnings,Earnings,MSFT
2022-01-27,Apple Q1 2022 Earnings,Earnings,AAPL
2022-02-01,Alphabet Q4 2021 Earnings,Earnings,GOOGL
2022-02-02,Facebook Q4 2021 Earnings,Earnings,META
2022-02-03,Amazon Q4 2021 Earnings,Earnings,AMZN
2022-04-26,Microsoft Q3 2022 Earnings,Earnings,MSFT
2022-04-27,Alphabet Q1 2022 Earnings,Earnings,GOOGL
2022-04-27,Facebook Q1 2022 Earnings,Earnings,META
2022-04-28,Apple Q2 2022 Earnings,Earnings,AAPL
2022-04-28,Amazon Q1 2022 Earnings,Earnings,AMZN
2022-07-26,Alphabet Q2 2022 Earnings,Earnings,GOOGL
2022-07-27,Meta Q2 2022 Earnings,Earnings,META
2022-07-28,Apple Q3 2022 Earnings,Earnings,AAPL
2022-07-28,Amazon Q2 2022 Earnings,Earnings,AMZN
2022-10-25,Microsoft Q1 2023 Earnings,Earnings,MSFT
2022-10-25,Alphabet Q3 2022 Earnings,Earnings,GOOGL
2022-10-26,Meta Q3 2022 Earnings,Earnings,META
2022-10-27,Apple Q4 2022 Earnings,Earnings,AAPL
2022-10-27,Amazon Q3 2022 Earnings,Earnings,AMZN
2023-01-24,Microsoft Q2 2023 Earnings,Earnings,MSFT
2023-02-01,Alphabet Q4 2022 Earnings,Earnings,GOOGL
2023-02-01,Meta Q4 2022 Earnings,Earnings,META
2023-02-02,Apple Q1 2023 Earnings,Earnings,AAPL
2023-02-02,Amazon Q4 2022 Earnings,Earnings,AMZN
2023-04-25,Microsoft Q3 2023 Earnings,Earnings,MSFT
2023-04-25,Alphabet Q1 2023 Earnings,Earnings,GOOGL
2023-04-26,Meta Q1 2023 Earnings,Earnings,META
2023-05-04,Apple Q2 2023 Earnings,Earnings,AAPL
2023-04-27,Amazon Q1 2023 Earnings,Earnings,AMZN
2023-07-25,Alphabet Q2 2023 Earnings,Earnings,GOOGL
2023-07-26,Meta Q2 2023 Earnings,Earnings,META
2023-07-25,Microsoft Q4 2023 Earnings,Earnings,MSFT
2023-08-03,Apple Q3 2023 Earnings,Earnings,AAPL
2023-08-03,Amazon Q2 2023 Earnings,Earnings,AMZN
2023-10-24,Microsoft Q1 2024 Earnings,Earnings,MSFT
2023-10-24,Alphabet Q3 2023 Earnings,Earnings,GOOGL
2023-10-25,Meta Q3 2023 Earnings,Earnings,META
2023-11-02,Apple Q4 2023 Earnings,Earnings,AAPL
2023-10-26,Amazon Q3 2023 Earnings,Earnings,AMZN
2024-01-25,Microsoft Q2 2024 Earnings,Earnings,MSFT
2024-02-01,Alphabet Q4 2023 Earnings,Earnings,GOOGL
2024-02-01,Meta Q4 2023 Earnings,Earnings,META
2024-02-02,Apple Q1 2024 Earnings,Earnings,AAPL
2024-02-01,Amazon Q4 2023 Earnings,Earnings,AMZN
2024-04-25,Microsoft Q3 2024 Earnings,Earnings,MSFT
2024-04-25,Alphabet Q1 2024 Earnings,Earnings,GOOGL
2024-04-24,Meta Q1 2024 Earnings,Earnings,META
2024-05-02,Apple Q2 2024 Earnings,Earnings,AAPL
2024-04-30,Amazon Q1 2024 Earnings,Earnings,AMZN
2024-07-23,Alphabet Q2 2024 Earnings,Earnings,GOOGL
2024-07-25,Microsoft Q4 2024 Earnings,Earnings,MSFT
