Date,Event,Type,Country
2018-01-05,Nonfarm Payrolls,NFP,US
2018-01-12,CPI,CPI,US
2018-01-31,FOMC Decision,FOMC,US
2018-02-02,Nonfarm Payrolls,NFP,US
2018-02-14,CPI,CPI,US
2018-02-28,GDP Advance,GDP,US
2018-03-09,Nonfarm Payrolls,NFP,US
2018-03-13,CPI,CPI,US
2018-03-21,FOMC Decision,FOMC,US
2018-04-06,Nonfarm Payrolls,NFP,US
2018-04-11,CPI,CPI,US
2018-04-27,GDP Advance,GDP,US
2018-05-02,FOMC Decision,FOMC,US
2018-05-04,Nonfarm Payrolls,NFP,US
2018-05-10,CPI,CPI,US
2018-06-01,Nonfarm Payrolls,NFP,US
2018-06-12,CPI,CPI,US
2018-06-13,FOMC Decision,FOMC,US
2018-06-28,GDP Final,GDP,US
2018-07-06,Nonfarm Payrolls,NFP,US
2018-07-12,CPI,CPI,US
2018-07-27,GDP Advance,GDP,US
2018-08-01,FOMC Decision,FOMC,US
2018-08-03,Nonfarm Payrolls,NFP,US
2018-08-10,CPI,CPI,US
2018-09-07,Nonfarm Payrolls,NFP,US
2018-09-13,CPI,CPI,US
2018-09-26,FOMC Decision,FOMC,US
2018-09-27,GDP Final,GDP,US
2018-10-05,Nonfarm Payrolls,NFP,US
2018-10-11,CPI,CPI,US
2018-10-26,GDP Advance,GDP,US
2018-11-02,Nonfarm Payrolls,NFP,US
2018-11-08,FOMC Decision,FOMC,US
2018-11-13,CPI,CPI,US
2018-12-07,Nonfarm Payrolls,NFP,US
2018-12-12,CPI,CPI,US
2018-12-19,FOMC Decision,FOMC,US
2018-12-21,GDP Final,GDP,US
2019-01-04,Nonfarm Payrolls,NFP,US
2019-01-11,CPI,CPI,US
2019-01-30,FOMC Decision,FOMC,US
2019-01-30,GDP Advance,GDP,US
2019-02-01,Nonfarm Payrolls,NFP,US
2019-02-13,CPI,CPI,US
2019-02-28,GDP Final,GDP,US
2019-03-08,Nonfarm Payrolls,NFP,US
2019-03-12,CPI,CPI,US
2019-03-20,FOMC Decision,FOMC,US
2019-04-05,Nonfarm Payrolls,NFP,US
2019-04-10,CPI,CPI,US
2019-04-26,GDP Advance,GDP,US
2019-05-01,FOMC Decision,FOMC,US
2019-05-03,Nonfarm Payrolls,NFP,US
2019-05-10,CPI,CPI,US
2019-06-07,Nonfarm Payrolls,NFP,US
2019-06-12,CPI,CPI,US
2019-06-19,FOMC Decision,FOMC,US
2019-06-27,GDP Final,GDP,US
2019-07-05,Nonfarm Payrolls,NFP,US
2019-07-11,CPI,CPI,US
2019-07-26,GDP Advance,GDP,US
2019-07-31,FOMC Decision,FOMC,US
2019-08-02,Nonfarm Payrolls,NFP,US
2019-08-13,CPI,CPI,US
2019-09-06,Nonfarm Payrolls,NFP,US
2019-09-12,CPI,CPI,US
2019-09-18,FOMC Decision,FOMC,US
2019-09-26,GDP Final,GDP,US
2019-10-04,Nonfarm Payrolls,NFP,US
2019-10-10,CPI,CPI,US
2019-10-30,FOMC Decision,FOMC,US
2019-10-30,GDP Advance,GDP,US
2019-11-01,Nonfarm Payrolls,NFP,US
2019-11-13,CPI,CPI,US
2019-12-06,Nonfarm Payrolls,NFP,US
2019-12-11,CPI,CPI,US
2019-12-11,FOMC Decision,FOMC,US
2019-12-20,GDP Final,GDP,US
2020-01-10,Nonfarm Payrolls,NFP,US
2020-01-14,CPI,CPI,US
2020-01-29,FOMC Decision,FOMC,US
2020-01-30,GDP Advance,GDP,US
2020-02-07,Nonfarm Payrolls,NFP,US
2020-02-13,CPI,CPI,US
2020-02-27,GDP Final,GDP,US
2020-03-06,Nonfarm Payrolls,NFP,US
2020-03-11,CPI,CPI,US
2020-03-15,FOMC Decision,FOMC,US
2020-04-03,Nonfarm Payrolls,NFP,US
2020-04-10,CPI,CPI,US
2020-04-29,FOMC Decision,FOMC,US
2020-04-29,GDP Advance,GDP,US
2020-05-08,Nonfarm Payrolls,NFP,US
2020-05-12,CPI,CPI,US
