Date,Open,High,Low,Close,Volume
2020-01-02,323.87,325.25,323.17,324.87,93017200
2020-01-03,323.16,323.94,321.57,322.73,87638400
2020-01-06,321.58,323.69,321.16,323.40,74995600
2020-01-07,323.44,324.88,322.84,324.76,76138800
2020-01-08,324.78,326.96,323.66,326.06,70622000
2020-01-09,327.64,328.60,326.68,328.43,67892400
2020-01-10,328.39,329.47,327.61,329.38,63646000
2020-01-13,329.32,330.32,328.48,330.16,65433200
2020-01-14,331.09,331.56,329.63,330.53,72894000
2020-01-15,329.49,331.11,329.12,330.54,77309200
2020-01-16,331.06,332.18,330.63,331.71,65486800
2020-01-17,333.30,333.94,332.11,333.01,76499600
2020-01-21,333.28,335.01,332.45,334.79,82719200
2020-01-22,334.63,335.46,333.33,333.51,69700000
2020-01-23,334.41,335.56,334.04,335.20,67589200
2020-01-24,335.64,336.53,333.08,333.60,81682400
2020-01-27,333.73,333.75,329.18,329.55,110843200
2020-01-28,330.54,332.15,329.44,331.67,82619600
2020-01-29,332.00,332.78,331.04,332.11,77692800
2020-01-30,332.32,333.33,330.17,330.86,93979200
2020-01-31,328.81,330.78,326.74,327.06,148693200
2020-02-03,324.05,331.19,323.59,330.70,121559200
2020-02-04,333.45,334.89,331.95,334.51,104268400
2020-02-05,336.70,337.64,335.41,337.06,95569200
2020-02-06,337.20,339.08,336.41,338.58,86859600
2020-02-07,337.62,338.48,336.34,336.91,77630000
2020-02-10,337.70,338.64,337.19,338.32,62018000
2020-02-11,340.09,341.00,339.48,340.46,74435200
2020-02-12,341.18,341.69,339.59,341.16,69865200
2020-02-13,340.77,341.15,339.54,340.47,61066400
2020-02-14,340.85,341.58,339.97,340.94,58568800
2020-02-18,340.05,341.50,339.61,341.19,58369200
2020-02-19,341.95,342.94,340.59,341.33,75014800
2020-02-20,339.46,340.41,336.73,337.32,96285600
2020-02-21,333.88,337.67,332.03,335.35,110291200
2020-02-24,324.45,330.39,323.79,329.52,146376800
2020-02-25,329.39,330.23,319.64,320.14,177325600
2020-02-26,319.95,323.09,316.67,321.97,154929200
2020-02-27,314.13,316.43,307.87,308.84,203969200
2020-02-28,300.25,308.59,298.80,302.74,251597600
2020-03-02,307.63,314.93,304.39,313.28,191361200
2020-03-03,311.39,315.77,305.95,307.70,174269600
2020-03-04,312.68,317.19,310.97,316.42,159797200
2020-03-05,313.93,314.96,304.48,306.02,176764000
2020-03-06,300.09,304.11,295.57,296.81,199588400
2020-03-09,285.53,288.16,277.01,277.40,240894400
2020-03-10,289.48,297.11,285.19,295.97,192339200
2020-03-11,291.67,294.11,283.36,285.34,199588000
2020-03-12,274.15,278.49,261.91,262.74,283070400
2020-03-13,276.67,289.65,272.13,289.47,278919200
2020-03-16,271.70,275.46,258.24,258.73,303602800
2020-03-17,263.79,273.61,257.23,272.56,277619600
2020-03-18,256.59,263.61,248.13,249.38,313230800
2020-03-19,253.79,261.95,251.89,254.86,254948400
2020-03-20,244.93,250.22,235.65,239.41,319596800
2020-03-23,237.91,243.46,232.96,233.11,302195200
2020-03-24,247.10,256.78,245.85,256.57,263445200
2020-03-25,257.81,265.84,253.33,262.33,247660000
2020-03-26,269.75,276.83,267.52,276.57,231800800
2020-03-27,273.40,274.55,266.68,267.63,200877600
2020-03-30,270.37,273.40,266.16,272.67,176218400
2020-03-31,269.05,272.20,266.96,268.05,189111200
2020-04-01,260.61,265.23,257.70,258.13,169608000
2020-04-02,259.76,265.87,258.95,265.07,158929200
2020-04-03,264.68,267.99,258.40,259.44,168895600
2020-04-06,274.19,279.42,272.36,279.07,192906800
2020-04-07,283.78,286.68,281.81,284.53,164426400
2020-04-08,287.71,289.79,286.33,288.80,144981200
2020-04-09,291.50,293.55,289.76,292.68,135445600
2020-04-13,286.48,289.14,284.14,287.05,141832800
2020-04-14,293.83,296.83,291.51,295.04,157125200
2020-04-15,291.79,293.76,289.23,289.45,147188800
2020-04-16,291.78,293.67,290.64,292.23,133607200
2020-04-17,298.80,302.11,297.67,301.77,179955200
2020-04-20,299.31,299.99,295.45,296.23,134881200
2020-04-21,291.67,293.45,286.38,287.73,165215200
2020-04-22,295.17,298.03,294.73,297.13,133406000
2020-04-23,297.21,300.45,296.95,299.40,120634400
2020-04-24,299.68,301.29,298.04,299.42,119025600
2020-04-27,302.83,303.94,301.01,302.35,129025600
2020-04-28,304.75,306.34,303.88,305.81,122039200
2020-04-29,307.54,311.09,307.09,310.07,144937600
2020-04-30,308.15,309.31,304.37,304.86,177971600
2020-05-01,300.46,301.79,294.81,295.82,191026000
2020-05-04,296.39,299.67,295.43,299.36,132705200
2020-05-05,299.73,302.30,298.76,301.40,115860400
2020-05-06,304.07,304.46,302.52,303.43,113806000
2020-05-07,305.94,308.84,305.37,308.55,121461200
2020-05-08,311.23,312.41,309.80,311.41,115215600
2020-05-11,310.08,311.40,307.75,307.94,115776000
2020-05-12,306.57,308.68,302.90,303.10,131530400
2020-05-13,299.60,303.00,295.95,296.70,151948800
2020-05-14,294.80,297.82,293.49,296.10,138530800
2020-05-15,297.52,299.73,294.65,299.01,132909200
2020-05-18,304.35,308.08,303.88,307.60,156108000
2020-05-19,308.00,309.23,306.16,308.35,115677600
2020-05-20,311.05,311.86,309.96,310.89,103623600
2020-05-21,309.68,310.89,307.08,307.32,117076000
2020-05-22,308.05,309.36,307.58,308.66,99613200
2020-05-26,311.88,313.56,310.92,313.21,110942000
2020-05-27,314.80,315.07,310.50,310.52,142360400
2020-05-28,312.69,313.86,311.66,313.23,113456400
2020-05-29,314.38,315.63,313.02,314.52,110957200
2020-06-01,313.67,316.26,313.00,316.25,99862000
