Date,Event,Impact,Country
2018-01-03,FOMC Minutes,High,US
2018-02-02,NFP Employment Report,High,US
2018-03-14,CPI Report,High,US
2018-03-21,FOMC Rate Decision,High,US
2018-04-06,NFP Employment Report,High,US
2018-05-02,FOMC Rate Decision,High,US
2018-06-01,NFP Employment Report,High,US
2018-06-13,FOMC Rate Decision,High,US
2018-07-06,NFP Employment Report,High,US
2018-08-01,FOMC Minutes,High,US
2018-09-07,NFP Employment Report,High,US
2018-09-26,FOMC Rate Decision,High,US
2018-10-05,NFP Employment Report,High,US
2018-11-02,NFP Employment Report,High,US
2018-11-08,FOMC Rate Decision,High,US
2018-12-07,NFP Employment Report,High,US
2018-12-19,FOMC Rate Decision,High,US
2019-01-04,NFP Employment Report,High,US
2019-01-30,FOMC Rate Decision,High,US
2019-02-01,NFP Employment Report,High,US
2019-03-08,NFP Employment Report,High,US
2019-03-20,FOMC Rate Decision,High,US
2019-04-05,NFP Employment Report,High,US
2019-05-01,FOMC Rate Decision,High,US
2019-05-03,NFP Employment Report,High,US
2019-06-07,NFP Employment Report,High,US
2019-06-19,FOMC Rate Decision,High,US
2019-07-05,NFP Employment Report,High,US
2019-07-31,FOMC Rate Decision,High,US
2019-08-02,NFP Employment Report,High,US
2019-09-06,NFP Employment Report,High,US
2019-09-18,FOMC Rate Decision,High,US
2019-10-04,NFP Employment Report,High,US
2019-10-30,FOMC Rate Decision,High,US
2019-11-01,NFP Employment Report,High,US
2019-12-06,NFP Employment Report,High,US
2019-12-11,FOMC Rate Decision,High,US
2020-01-03,NFP Employment Report,High,US
2020-01-29,FOMC Rate Decision,High,US
2020-02-07,NFP Employment Report,High,US
2020-03-06,NFP Employment Report,High,US
2020-03-15,FOMC Emergency Rate Cut,High,US
2020-04-03,NFP Employment Report,High,US
2020-04-29,FOMC Rate Decision,High,US
2020-05-08,NFP Employment Report,High,US
2020-06-05,NFP Employment Report,High,US
2020-06-10,FOMC Rate Decision,High,US
